   2890 
    117 IPR000742	EGF-like domain
     81 IPR013087	Zinc finger C2H2-type
     78 IPR004000	Actin family
     60 IPR006212	Furin-like repeat
     53 IPR005455	Profilin
     52 IPR000719	Protein kinase domain
     47 IPR001680	WD40 repeat
     47 IPR000998	MAM domain
     46 IPR036465	von Willebrand factor A-like domain superfamily
     42 IPR001507	Zona pellucida domain
     40 IPR002035	von Willebrand factor, type A
     36 IPR013017	NHL repeat, subgroup
     36 IPR009030	Growth factor receptor cysteine-rich domain superfamily
     34 IPR000859	CUB domain
     32 IPR005475	Transketolase-like, pyrimidine-binding domain
     29 IPR003961	Fibronectin type III
     29 IPR000504	RNA recognition motif domain
     28 IPR018108	Mitochondrial substrate/solute carrier
     26 IPR029061	Thiamin diphosphate-binding fold
     25 IPR013783	Immunoglobulin-like fold
     25 IPR011009	Protein kinase-like domain superfamily
     24 IPR001258	NHL repeat
     23 IPR010513	KEN domain
     22 IPR027417	P-loop containing nucleoside triphosphate hydrolase
     22 IPR002067	Mitochondrial carrier protein
     21 IPR011042	Six-bladed beta-propeller, TolB-like
     21 IPR001881	EGF-like calcium-binding domain
     21 IPR001841	Zinc finger, RING-type
     20 IPR035914	Spermadhesin, CUB domain superfamily
     20 IPR011603	2-oxoglutarate dehydrogenase E1 component
     20 IPR005814	Aminotransferase class-III
     20 IPR001506	Peptidase M12A
     19 IPR043129	ATPase, nucleotide binding domain
     19 IPR019734	Tetratricopeptide repeat
     19 IPR015917	Peptidase C14A, caspase catalytic domain
     19 IPR013320	Concanavalin A-like lectin/glucanase domain superfamily
     19 IPR002126	Cadherin-like
     19 IPR000242	PTP type protein phosphatase
     18 IPR013083	Zinc finger, RING/FYVE/PHD-type
     18 IPR002401	Cytochrome P450, E-class, group I
     18 IPR002110	Ankyrin repeat
     18 IPR000276	G protein-coupled receptor, rhodopsin-like
     17 IPR036188	FAD/NAD(P)-binding domain superfamily
     17 IPR016024	Armadillo-type fold
     17 IPR011990	Tetratricopeptide-like helical domain superfamily
